d;x;y;z;z_lisse;pente;x_prime_lisse;y_prime_lisse;x_seconde_lisse;y_seconde_lisse;courbure
1321;354.03;357.33;6.06;6.06;4.7;0.815;-0.58;-0.00021645;1.08273E-14;-0.000125424
1322;354.85;356.75;6.1;6.10;4.5;0.815;-0.58;0.00021645;0;0.000125424
1323;355.66;356.17;6.15;6.15;4.5;0.815;-0.58;-0.00021645;-1.08273E-14;-0.000125424
1324;356.48;355.59;6.19;6.19;4.6;0.815;-0.58;0.00021645;0.001190476;0.001094753
1325;357.29;355.01;6.24;6.24;4.9;0.815;-0.580833333;-0.00021645;0.001190476;0.000842503
1326;358.11;354.43;6.29;6.29;5.0;0.815;-0.574166667;0.00021645;0.00047619;0.000517104
1327;358.92;353.86;6.34;6.34;5.0;0.815;-0.574166667;-0.00021645;-0.00047619;-0.000517104
1328;359.74;353.28;6.39;6.39;5.0;0.815;-0.580833333;0.00021645;-0.001190476;-0.000842503
1329;360.55;352.7;6.44;6.44;5.0;0.815;-0.58;-0.00021645;-0.001190476;-0.001094753
1330;361.37;352.12;6.49;6.49;5.0;0.815;-0.58;0.00021645;5.41366E-15;0.000125424
1331;362.18;351.54;6.54;6.54;5.0;0.815;-0.58;-0.00021645;-1.08273E-14;-0.000125424
1332;363;350.96;6.59;6.59;5.0;0.815;-0.58;0.00021645;1.08273E-14;0.000125424
1333;363.81;350.38;6.64;6.64;5.0;0.815;-0.58;0.00038961;-5.41366E-15;0.000225762
1334;364.63;349.8;6.69;6.69;5.0;0.815;-0.58;0.000367965;-5.41366E-15;0.00021322
1335;365.44;349.22;6.74;6.74;4.9;0.814166667;-0.58;0.00021645;5.41366E-15;0.000125679
1336;366.26;348.64;6.79;6.79;4.6;0.821666667;-0.58;0;0.001190476;0.000961489
1337;367.08;348.06;6.83;6.83;4.6;0.814166667;-0.580833333;-0.00021645;0.001190476;0.000843228
1338;367.89;347.48;6.88;6.88;4.9;0.815;-0.574166667;-0.000367965;0.00047619;0.000178454
1339;368.71;346.91;6.93;6.93;5.0;0.815;-0.574166667;-0.00038961;-0.00047619;-0.000617445
1340;369.52;346.33;6.98;6.98;5.1;0.815;-0.580833333;-0.00021645;-0.001190476;-0.001093347
1341;370.34;345.75;7.03;7.03;5.4;0.815;-0.58;0.00021645;-0.001190476;-0.000843906
1342;371.15;345.17;7.09;7.09;5.4;0.815;-0.58;0.00038961;-1.08273E-14;0.000225762
1343;371.97;344.59;7.14;7.14;5.1;0.815;-0.58;0.000367965;0.001190476;0.001182549
1344;372.78;344.01;7.19;7.19;5.0;0.814166667;-0.580833333;0.00021645;0.001190476;0.001094582
1345;373.6;343.43;7.24;7.24;5.0;0.821666667;-0.574166667;-3.93721E-15;0.00047619;0.000388467
1346;374.42;342.86;7.29;7.29;5.0;0.814166667;-0.574166667;-0.00021645;-0.00047619;-0.000517764
1347;375.23;342.28;7.34;7.34;5.0;0.815;-0.580833333;0.000238095;-5.41366E-15;0.000137964
1348;376.05;341.7;7.39;7.39;5.0;0.815;-0.580833333;-0.000238095;-5.41366E-15;-0.000137964
1349;376.86;341.12;7.44;7.44;5.0;0.814166667;-0.574166667;0.00021645;0.00047619;0.000517764
1350;377.68;340.55;7.49;7.49;5.0;0.821666667;-0.574166667;0.000606061;-0.00047619;-4.298E-05
1351;378.5;339.97;7.54;7.54;5.1;0.814166667;-0.580833333;-6.49351E-05;5.41366E-15;-3.77032E-05
1352;379.31;339.39;7.59;7.59;5.4;0.814166667;-0.580833333;6.49351E-05;-5.41366E-15;3.77032E-05
1353;380.13;338.81;7.65;7.65;5.4;0.821666667;-0.574166667;-3.93721E-15;0.00047619;0.000388467
1354;380.95;338.24;7.7;7.70;5.2;0.814166667;-0.574166667;-6.49351E-05;-0.00047619;-0.000429786
1355;381.76;337.66;7.75;7.75;4.8;0.814166667;-0.580833333;6.49351E-05;-1.08273E-14;3.77032E-05
1356;382.58;337.08;7.8;7.80;4.6;0.821666667;-0.580833333;-0.000606061;-1.08273E-14;-0.00034552
